pose ID, RMSD, Delta G_bind (run1), Delta G_bind (run2), Delta G_bind (run3), Delta G_bind (run4), Delta G_bind (run5), Delta G_bind (run6), Delta G_bind (run7), Delta G_bind (run8), Delta G_bind (run9), Delta G_bind (run10), Delta G_bind (run11), Delta G_bind (run12), Delta G_bind (run13), Delta G_bind (run14), Delta G_bind (run15), Delta G_bind (run16), Delta G_bind (run17), Delta G_bind (run18), Delta G_bind (run19), Delta G_bind (run20), 
1, 1.43939656852, -29.335056, -31.823448, -30.039774, -29.050708, -25.41853, -22.540358, -27.639868, -28.113492, -32.05038, -26.09537, -27.82772, -31.933504, -25.959086, -29.851892, -29.788932, -32.475314, -27.341952, -34.560066, -23.30679, -31.249458, 
2, 1.78417402822, -26.252064, -37.149572, -29.667896, -37.940358, -27.196622, -35.509112, -25.355412, -26.988986, -29.773192, -36.001974, -32.353204, -39.460644, -38.429586, -33.501496, -27.562252, -27.328728, -28.102188, -26.283028, -29.00368, -30.797136, 
3, 1.84361448529, -31.410586, -40.542288, -34.9762, -28.163084, -35.059232, -37.717816, -35.207692, -27.416964, -34.988738, -33.439776, -36.696466, -37.157164, -36.018154, -35.0182, -38.526602, -28.411064, -39.693588, -36.924482, -34.74954, -32.362384, 
4, 2.43823508574, -38.098608, -24.393988, -36.8943, -31.97414, -35.176996, -32.202484, -21.83105, -36.37093, -32.398934, -36.008254, -34.43806, -32.665532, -33.745172, -33.450322, -29.921178, -27.319606, -24.74623, -32.871094, -27.140906, -31.07517, 
5, 3.26548840996, -26.844538, -25.56721, -22.629478, -26.049588, -26.351164, -23.888198, -23.492036, -24.75185, -23.727552, -23.556724, -31.424428, -25.40738, -27.574432, -28.438016, -28.435922, -26.612418, -28.195002, -30.070216, -26.083272, -24.206758, 
6, 5.23016826795, -22.622236, -23.50154, -21.546112, -20.236992, -19.337278, -24.970814, -28.337728, -18.907008, -22.992698, -22.855378, -20.348916, -21.961856, -20.008216, -20.464284, -25.638266, -15.664416, -18.708612, -22.099158, -26.268992, -26.836302, 
7, 6.79023427022, -30.74722, -22.345086, -25.922698, -21.67891, -20.176166, -24.362934, -21.643534, -22.350226, -23.119844, -24.896186, -28.447566, -23.464142, -30.14086, -23.429222, -23.905364, -21.208342, -23.482124, -23.625266, -26.32745, -22.062402, 
8, 6.4465251392, -17.540348, -15.304268, -12.42674, -19.034132, -13.593502, -22.692896, -17.828544, -15.12651, -23.987612, -16.598384, -16.363692, -16.411414, -16.853788, -18.500626, -14.372388, -12.609182, -20.021406, -15.706862, -15.478288, -13.661618, 
9, 6.84275611031, -19.31874, -20.145362, -13.228984, -14.10966, -12.431336, -17.349074, -22.96227, -10.602714, -4.876442, -18.67972, -16.519084, -20.431868, -18.429534, -15.002942, -14.244304, -16.64858, -20.303264, -24.284088, -21.042968, -19.645636, 
10, 7.16765178501, -32.761244, -30.687004, -29.446966, -30.233558, -32.355136, -33.263142, -31.604044, -28.930646, -32.687022, -34.93876, -31.378234, -34.489452, -33.938734, -33.828804, -31.55609, -30.531258, -31.54187, -31.284476, -35.362226, -33.464486, 
