pose ID, RMSD, Delta G_bind (run1), Delta G_bind (run2), Delta G_bind (run3), Delta G_bind (run4), Delta G_bind (run5), Delta G_bind (run6), Delta G_bind (run7), Delta G_bind (run8), Delta G_bind (run9), Delta G_bind (run10), Delta G_bind (run11), Delta G_bind (run12), Delta G_bind (run13), Delta G_bind (run14), Delta G_bind (run15), Delta G_bind (run16), Delta G_bind (run17), Delta G_bind (run18), Delta G_bind (run19), Delta G_bind (run20), 
1, 1.79509770208, -34.930982, -33.474744, -36.517592, -38.169486, -36.119184, -34.514034, -34.166976, -33.961272, -33.641928, -32.904076, -32.157684, -30.241216, -40.290774, -32.267982, -35.295702, -36.317796, -36.81885, -37.12741, -38.249076, -37.21599, 
2, 3.10947714576, -26.534604, -27.18786, -17.1165, -26.703908, -31.93164, -26.03499, -26.69661, -26.041536, -27.61648, -27.504966, -26.931748, -29.063496, -29.289808, -27.100526, -23.501314, -29.793332, -27.131304, -15.298504, -25.31639, -28.492658, 
3, 3.33262572756, -26.663948, -31.884088, -32.42135, -31.24091, -32.592716, -28.87308, -38.018556, -32.322536, -29.721888, -27.424816, -33.009874, -33.513622, -32.383664, -28.569882, -5.603046, -34.880256, -30.446908, -13.90198, -33.694514, -32.550992, 
4, 3.3176486553, -27.115342, -24.1129, -17.167552, -26.277536, -15.330376, -23.625716, -16.685452, -17.770274, -24.909912, -22.029644, -17.591996, -23.239094, -13.290152, -20.902298, -16.468258, -22.006732, -21.453584, -18.64711, -17.642566, -25.921534, 
5, 4.08714374594, -24.139598, -28.365368, -16.320596, -26.292286, -31.883032, -26.48445, -25.331718, -28.856778, -24.38865, -26.972168, -22.92033, -25.909098, -28.155666, -29.395176, -30.101794, -22.157426, -28.377758, -25.28813, -25.811198, -22.07784, 
6, 5.0737948914, -22.912614, -19.5434, -23.26101, -21.11165, -27.225164, -30.197886, -22.960504, -23.110574, -19.158248, -17.735608, -29.399822, -29.300704, -30.674294, -20.076892, -21.327542, -21.06885, -24.285084, -17.169352, -19.224932, -22.847694, 
7, 5.46986591061, -29.015912, -27.895986, -34.118344, -27.591852, -29.968784, -21.043976, -33.141652, -35.997826, -24.41902, -29.979738, -28.45722, -31.916908, -22.51869, -36.079834, -28.766144, -36.338084, -29.803992, -33.837366, -27.889314, -33.150226, 
8, 5.95525240103, -29.722486, -31.978598, -28.342262, -28.450596, -25.518716, -28.706364, -25.97226, -29.036234, -29.684984, -32.33934, -31.246026, -22.239494, -29.015532, -27.92248, -32.166618, -31.320972, -18.82969, -31.014724, -28.956406, -29.562522, 
9, 5.62095459153, -27.031358, -25.575214, -29.327248, -24.03675, -30.485898, -26.95512, -27.684044, -25.12209, -25.610758, -25.538948, -31.478486, -28.36569, -26.262604, -29.293576, -26.111506, -27.489682, -24.071098, -24.796354, -32.824058, -25.36432, 
10, 5.60498354324, -25.323186, -29.095352, -26.80947, -21.142794, -27.044052, -26.292578, -28.92527, -30.267484, -25.192662, -27.665088, -21.97745, -30.109332, -23.861558, -26.65967, -25.239936, -24.505334, -25.137658, -27.912274, -30.862704, -25.777406, 
11, 5.83219805219, -30.99825, -26.62665, -30.40456, -26.502074, -31.667782, -22.309126, -28.368622, -32.897208, -27.063534, -27.902994, -29.821578, -26.027718, -31.284506, -24.258658, -26.231456, -28.071326, -30.38321, -26.986482, -31.697374, -30.636496, 
12, 5.87450469401, -20.223806, -30.33833, -28.247702, -27.71392, -32.208566, -29.402198, -28.601066, -28.897534, -30.694396, -24.070936, -24.0962, -30.627654, -29.768168, -32.929558, -29.816548, -27.98669, -32.245682, -32.939094, -30.903338, -31.024712, 
13, 5.87595775002, -24.937042, -27.22523, -22.907204, -29.801782, -29.641704, -27.07466, -24.180938, -24.546688, -13.850306, -27.447106, -22.727216, -21.299084, -16.262954, -14.873498, -28.349352, -27.079324, -26.228432, -23.190514, -20.495508, -21.777052, 
14, 5.8998769716, -29.47781, -28.743698, -28.869804, -29.686188, -29.037108, -22.052422, -28.370322, -27.744002, -28.038438, -23.88827, -31.07, -29.495294, -28.843798, -26.597726, -24.861102, -28.305102, -18.058876, -25.97886, -29.506062, -25.61692, 
15, 6.01509159033, -28.629722, -28.775956, -28.076512, -30.290874, -29.091674, -26.900788, -28.66781, -25.231936, -29.86866, -28.51936, -30.003036, -27.50903, -24.901546, -20.828808, -28.106304, -29.817896, -24.254338, -22.532596, -22.983742, -29.887422, 
16, 8.06542915659, -20.829324, -16.840258, -20.670456, -25.395132, -24.4678, -21.117112, -25.579556, -25.872418, -25.147438, -27.592538, -29.78849, -20.172842, -25.545172, -32.006574, -24.048142, -20.13166, -25.122034, -19.28826, -30.015108, -27.14646, 
17, 8.40058847939, -22.868026, -28.630768, -25.551598, -20.416444, -25.521282, -23.289674, -14.894786, -34.570338, -29.840894, -21.242108, -20.523112, -29.21231, -24.656588, -21.176338, -19.069622, -3.569716, -13.404348, -22.815338, -20.005524, -22.38987, 
18, 8.99116791079, -20.041898, -13.193084, -28.899968, -14.39283, -27.59188, -12.936688, -17.012548, -15.58389, -15.984172, -13.755252, -6.938382, -5.569844, -27.060532, -19.386698, -6.748416, -24.116558, -16.644646, -16.816226, -16.7828, -14.487322, 
19, 7.85782894189, -22.222028, -21.057276, -19.263828, -22.153714, -18.501118, -18.85284, -21.268626, -18.698324, -20.631262, -22.389428, -18.002056, -22.581268, -20.917922, -21.813776, -20.194106, -21.542136, -22.133448, -19.051182, -21.282198, -24.828126, 
20, 7.20668509094, -18.842222, -20.895146, -19.54891, -16.804118, -6.46622, -18.50132, -17.931616, -14.470738, -12.24602, -15.651614, -17.751402, -16.93392, -24.118732, -13.052928, -21.408536, -14.68524, -13.849764, -17.117468, -16.861086, -13.263406, 
