pose ID, RMSD, Delta G_bind (run1), Delta G_bind (run2), Delta G_bind (run3), Delta G_bind (run4), Delta G_bind (run5), Delta G_bind (run6), Delta G_bind (run7), Delta G_bind (run8), Delta G_bind (run9), Delta G_bind (run10), Delta G_bind (run11), Delta G_bind (run12), Delta G_bind (run13), Delta G_bind (run14), Delta G_bind (run15), Delta G_bind (run16), Delta G_bind (run17), Delta G_bind (run18), Delta G_bind (run19), Delta G_bind (run20), 
1, 1.80934884696, -24.705994, -22.347914, -29.10526, -25.600688, -26.082048, -26.81766, -23.881236, -22.198522, -26.464282, -26.942568, -28.044616, -27.58573, -27.019908, -25.644648, -27.875378, -25.84343, -28.833106, -24.976688, -28.144218, -25.118708, 
2, 6.6963354344, -8.56202, -13.61029, -15.704946, -21.494778, -17.341404, -19.165902, -23.904284, -8.392664, -17.572548, -9.882812, -16.302564, -17.049446, -13.524222, -10.902972, -16.504106, -11.838968, -17.112318, -9.15519, -15.16053, -10.514718, 
3, 6.21325834741, -14.177852, -23.910572, -25.070612, -17.852932, -24.712042, -24.578322, -22.777654, -24.168788, -21.754644, -21.040692, -22.128118, -23.122096, -24.142526, -25.365714, -22.25494, -22.72811, -22.316788, -23.431704, -25.0252, -22.683024, 
4, 9.17037517635, -19.433158, -19.363194, -21.22485, -15.530532, -17.534092, -14.76004, -15.939222, -17.98955, -20.32815, -17.460616, -18.927766, -12.544324, -17.551042, -17.461442, -15.700568, -16.877704, -5.361494, -13.349084, -16.027958, -12.289184, 
5, 6.75014291824, -15.115102, -11.937588, -19.131776, -17.783074, -12.169056, -14.505078, -20.248144, -18.513972, -17.807194, -16.4787, -17.557046, -14.271838, -16.567458, -17.78809, -12.419364, -17.291676, -12.260742, -6.729728, -17.422446, -20.463754, 
6, 7.21003635566, -10.35128, -14.529134, -13.970732, -15.810422, -15.52237, -15.188646, -16.422442, -11.883256, -17.423742, -13.901388, -12.73964, -12.497828, -14.698324, -13.187242, -15.193988, -12.82506, -15.486948, -12.196354, -12.274386, -12.757892, 
7, 6.82409175581, -19.159866, -19.04819, -19.52914, -16.924422, -19.655806, -18.365994, -22.463676, -17.683976, -13.083894, -16.077182, -17.764874, -17.697698, -21.247884, -20.125108, -24.045412, -17.440638, -17.681952, -14.349598, -17.249848, -18.659448, 
8, 7.6755887912, -10.198238, -15.659268, -13.513386, -13.329596, -15.148484, -16.380036, -16.534392, -16.630038, -14.336378, -18.716742, -16.16353, -12.572904, -15.119644, -14.863548, -12.83296, -10.96306, -16.887488, -14.09565, -11.701286, -9.861988, 
9, 9.21848935564, -16.181564, -17.249832, -14.440588, -17.057546, -13.362862, -16.351, -13.116394, -15.48243, -14.419256, -16.177892, -14.990658, -11.509822, -12.867016, -13.124486, -13.525716, -17.29245, -15.175034, -10.82315, -15.107338, -12.96968, 
10, 8.58745528858, -13.558438, -17.157682, -8.607846, -10.83268, -20.089938, -13.317966, -14.954692, -4.71541, -17.488178, -14.70989, -23.267596, -12.279512, -17.327916, -24.665992, -13.64399, -18.318078, -17.252562, -24.959096, -13.87754, -8.500122, 
11, 11.7881114529, -22.850922, -16.133946, -8.114558, -16.590682, -15.336992, -8.43561, -19.29517, -27.89932, -23.37881, -9.232024, -15.448792, -16.596702, -26.718708, -12.758818, -15.625542, -25.830526, -15.954052, -13.137612, -10.986232, -21.65057, 
12, 11.4552055943, -15.857474, -8.919038, -12.696638, -19.198568, -9.162556, -17.950436, -13.320686, -14.825932, -15.526066, -15.609698, -14.024404, -17.595972, -13.851122, -17.155554, -16.549946, -19.23672, -11.376994, -12.955658, -16.069748, -19.793498, 
13, 8.3372148527, -25.093082, -21.39241, -14.9174, -13.004838, -16.45281, -14.513968, -18.086906, -9.356714, -18.036344, -17.06621, -13.849512, -18.610634, -16.651544, -22.725284, -19.12019, -27.647096, -12.54609, -15.275654, -16.522556, -16.815492, 
14, 7.20304325152, -21.29005, -7.747604, -11.824714, -7.088542, -8.701306, -17.43303, -9.74571, -13.004444, -12.794126, -15.88353, -12.669218, -15.800602, -11.166468, -10.503998, -11.641388, -9.300562, -9.37615, -10.801638, -9.72026, -13.641418, 
15, 7.62878919783, -20.563822, -18.972952, -17.442636, -14.975572, -21.017676, -18.748062, -21.75046, -26.34089, -20.280938, -23.967832, -21.43767, -16.883214, -21.105296, -15.540934, -21.25405, -13.989962, -16.283012, -13.6577, -25.319652, -20.828578, 
16, 7.81021020044, -15.622174, -17.217936, -10.060072, -8.525212, -14.0633, -15.786518, -13.280526, -8.009774, -6.976348, -18.35847, -17.367618, -13.505304, -16.078528, -8.95713, -10.81467, -16.763174, -6.428552, -12.411808, -9.608842, -12.030378, 
17, 7.6578114775, -12.052188, -17.978084, -11.994732, -19.22468, -7.75327, -15.488334, -13.176322, -19.015246, -15.730694, -11.966738, -16.847304, -12.631946, -15.650482, -11.661892, -8.981846, -9.642772, -10.393648, -11.820918, -17.015418, -9.235456, 
18, 8.49673493908, -18.039804, -21.186502, -15.259114, -11.383814, -14.18198, -10.205894, -11.882642, -8.322064, -19.108404, -14.73824, -19.808992, -17.099598, -12.732356, -16.736198, -4.24877, -16.305988, -13.148122, -18.55708, -13.617994, -17.602488, 
19, 7.84924025782, -15.241966, -13.355506, -15.439356, -14.57278, -19.016906, -17.052726, -16.88579, -13.863484, -11.10934, -12.251388, -4.855432, -18.92267, -15.409466, -14.189238, -17.064842, -6.547482, -13.642336, -15.11547, -12.503266, -17.43708, 
20, 7.89567375213, -13.480174, -13.680066, -11.025676, -13.24442, -15.924284, -10.00233, -17.92555, -19.057054, -10.788754, -11.43984, -2.083998, -20.013594, -14.116004, -24.088906, -16.49379, -17.545882, -20.220178, -11.558228, -13.998542, -16.743666, 
