pose ID, RMSD, Delta G_bind (run1), Delta G_bind (run2), Delta G_bind (run3), Delta G_bind (run4), Delta G_bind (run5), Delta G_bind (run6), Delta G_bind (run7), Delta G_bind (run8), Delta G_bind (run9), Delta G_bind (run10), Delta G_bind (run11), Delta G_bind (run12), Delta G_bind (run13), Delta G_bind (run14), Delta G_bind (run15), Delta G_bind (run16), Delta G_bind (run17), Delta G_bind (run18), Delta G_bind (run19), Delta G_bind (run20), 
1,0.988,-42.54858627,-42.50511961,-41.31818235,-45.93474118,-40.15216275,-42.33342941,-46.45962353,-41.26229608,-39.16069216,-42.00792745,-40.38823529,-41.25548235,-40.93693529,-43.74385686,-39.80410588,-40.3213098,-40.82892745,-46.59663333,-39.13996275,-41.80168039,
2,2.46,-42.55866078,-39.18910196,-41.21516078,-41.66355098,-42.57079216,-41.33506667,-41.73531569,-40.52400784,-39.41805882,-42.17016667,-41.63407059,-41.68137059,-42.08830392,-41.85171961,-41.43289804,-42.06732941,-41.11248431,-43.58804902,-41.5809098,-41.77376078,
3,5.7,-26.69895882,-26.82651373,-21.4105098,-22.70996471,-16.05743922,-18.44710392,-19.40666863,-22.65116078,-29.62402353,-14.1310098,-22.84382353,-22.79347255,-24.3938098,-22.33994314,-23.14581961,-22.93116471,-23.42377843,-22.31614314,-18.40600784,-24.50218627,
4,5.76,-30.20726078,-35.10147843,-26.27068039,-31.86273137,-32.61471765,-29.85333333,-25.17711569,-24.97254314,-29.39053529,-26.24870392,-25.56828235,-21.95929216,-31.61661373,-29.51186667,-30.37257059,-23.48177451,-26.3269549,-29.69719804,-33.70188627,-32.56670392,
5,6.26,-20.7014902,-14.60082353,-21.47134314,-23.37872549,-12.45287451,-18.62341373,-26.66229412,-19.04359804,-23.35231176,-21.4481,-11.3765098,-20.56334118,-31.17863725,-20.89895294,-15.30284118,-25.89389216,-23.24068431,-21.12728235,-11.11193333,-23.39647843,
6,6.33,-23.74603725,-32.50779608,-23.40073922,-20.62376863,-21.52034118,-23.04758824,-28.55643922,-28.4221902,-22.48051176,-25.85027843,-17.77038039,-30.96259412,-31.34787451,-19.53344118,-25.70249608,-25.07084314,-29.9277549,-22.94329804,-30.89041569,-23.62022157,
7,6.67,-28.5520902,-25.54572941,-29.50194706,-26.67123725,-29.97976863,-30.75495098,-30.33951765,-29.33635098,-28.13210588,-29.7290098,-30.00850784,-22.28406667,-28.8306098,-29.16918235,-21.89585882,-26.71636667,-26.88341569,-33.57885686,-25.53909412,-25.91519804,
8,6.95,-24.69706471,-30.26310588,-30.10706078,-23.56611569,-20.41189804,-30.44549412,-27.09216078,-28.05625686,-19.94465686,-25.55324314,-23.82176863,-28.76877843,-16.79061765,-17.13713725,-25.10013137,-21.79545098,-21.63969804,-26.41160392,-21.21570196,-15.57577451,
9,6.95,-24.77540784,-26.65447255,-20.86045686,-25.9718098,-29.25644706,-28.20358039,-29.77338824,-26.58857647,-27.2576902,-25.97832745,-26.26689412,-26.59555294,-21.12851569,-24.9596451,-28.88806863,-27.30647647,-28.89426667,-27.35975098,-26.24877255,-24.8652,
10,6.97,-23.72135294,-23.0039902,-24.37456078,-22.09767059,-24.56002745,-25.27792941,-23.01052745,-24.05310588,-22.85322157,-24.94089412,-23.45048627,-25.16876667,-23.72434902,-27.72281961,-24.16284118,-22.85582353,-23.76405686,-22.672,-25.31884902,-25.19443725,
