pose ID, RMSD, Delta G_bind (run1), Delta G_bind (run2), Delta G_bind (run3), Delta G_bind (run4), Delta G_bind (run5), Delta G_bind (run6), Delta G_bind (run7), Delta G_bind (run8), Delta G_bind (run9), Delta G_bind (run10), Delta G_bind (run11), Delta G_bind (run12), Delta G_bind (run13), Delta G_bind (run14), Delta G_bind (run15), Delta G_bind (run16), Delta G_bind (run17), Delta G_bind (run18), Delta G_bind (run19), Delta G_bind (run20), 
1,1.48,-11.37222353,-7.653731373,-9.487968627,-1.601194118,-6.818521569,-2.751172549,-2.612468627,-1.804313725,-22.02388039,-4.270207843,-10.10228431,-8.871482353,-0.457386275,-11.30170784,-15.11989804,-10.6008098,-10.27935098,-4.416521569,-9.544988235,-25.92837255, 
2,1.66,-22.57158431,-24.03589412,-25.34226863,-26.23922157,-31.44955882,-24.00973529,-32.68015098,-7.75114902,-27.04737647,-26.93148039,-23.82425882,-25.03651765,-27.45757255,-32.68460784,-26.24312745,-24.3327902,-24.28742549,-24.32123333,-26.67993529,-27.98497647, 
3,1.97,-20.48778431,-22.47816863,-27.82151765,-20.02635882,-28.59862745,-12.82382549,-25.30294118,-24.57743529,-19.04707059,-2.723152941,-21.87809804,-12.71048431,-25.78323725,-16.12529412,-28.72597451,-13.49472157,-22.30967843,-26.87598824,-25.54194314,-26.09351961, 
4,2.31,-21.55531176,-20.7312451,-21.35894902,-18.17781765,-18.65887451,-16.70006471,9.697866667,-19.91001765,-15.4132902,-19.02813725,-10.75616863,-16.70056667,-14.51491569,-18.41567647,-21.00023922,-13.88887059,-20.69085882,-21.2613549,-15.26537647,-14.54945098, 
5,2.71,-8.993137255,-1.496735294,-17.55263333,-13.50374706,-16.87703333,-21.4593451,-11.77790392,-20.04547059,4.768068627,-17.94245882,-19.70285294,-8.825994118,-21.76202745,-7.574182353,-18.39190196,-21.39433725,-23.13240784,-19.95455098,-16.68218039,-21.89709804, 
6,2.71,-15.86063529,-20.46483529,-21.66422353,-21.5997451,-21.56528431,-20.51638431,-16.75479412,-17.45581961,-24.65865686,-3.643386275,-21.19919804,-20.70668431,-13.74532941,-21.24849412,3.55445098,-20.4392,-18.95409608,-15.27630392,-16.66092353,14.34908824, 
7,4.57,3.795486275,-6.366792157,1.140539216,-5.968935294,-3.404519608,-9.219878431,-14.60473333,-10.28830784,0.083066667,-8.183184314,-32.65485882,-8.532219608,-16.34287059,-11.27701961,-30.29503922,-3.662684314,6.169437255,-9.00237451,-0.392037255,-9.640403922, 
8,4.95,-10.06278039,1.797511765,-21.54657843,-24.22370196,-3.84145098,-1.558809804,4.375696078,-7.10334902,-16.99358431,3.958311765,-3.966627451,-9.706970588,-25.29713529,-11.98124706,-13.90196667,-11.55512157,-6.947982353,-21.7038451,-23.93249412,-1.927607843, 
9,5.35,-19.98798039,-21.35783529,-19.67481373,-4.101398039,41.15286667,3.209076471,-22.25402353,-13.6713451,-19.73240196,-22.69222941,-23.0100451,-11.18257843,-12.18652941,-8.674623529,-18.76451765,-13.43023922,-0.474411765,-16.42279804,14.13151373,-13.06564902, 
10,5.41,4.092029412,-18.64305686,-17.68720784,-24.66770196,-13.24377647,14.13339216,-17.47121373,-18.63346863,-24.00539608,-14.88504314,-18.79871373,-23.03171961,-17.76326471,-9.801872549,-18.29205882,-8.273362745,-11.69177255,-19.68818824,-18.13941961,-21.35525098, 
11,5.63,-10.37225294,4.744852941,5.746684314,-10.49079412,3.173672549,-2.719417647,5.967482353,-23.20260588,-0.575717647,4.516921569,-24.04575098,0.365154902,-3.595703922,6.359298039,-3.849892157,-4.275939216,-8.347868627,3.163047059,4.540707843,-20.38726471, 
12,6.07,0.147698039,-9.877562745,-9.570923529,-15.39468039,-24.75419216,5.178141176,-15.90643333,-1.453315686,-6.141376471,-2.111021569,-17.62660784,-2.813817647,-22.95751569,-13.37881569,-6.431329412,-2.527743137,-25.31778824,-13.86602353,-3.303403922,-26.21273725, 
13,6.12,-6.330445098,-0.241519608,-9.068917647,-21.71061176,-8.504337255,-11.21736667,-3.78124902,-3.162484314,-1.605647059,-1.065835294,2.153343137,-2.036668627,-4.049458824,-9.937403922,-16.95739412,-12.2824,-10.92369216,-10.41084118,-9.571429412,-2.191147059, 
14,6.15,-15.86894118,-16.72937647,-15.20654706,-20.58190588,-15.99325294,-16.82564314,-17.72323333,-10.86425882,-13.71999216,-12.70807059,25.40456863,-14.61347451,-3.579533333,-21.72886471,-9.89317451,-9.694156863,-15.66889608,-10.40481765,-11.35859216,-16.30192745, 
15,6.33,-13.42027059,-13.34360784,-18.62237451,-14.26006078,-15.54651569,6.804890196,-18.08188431,-18.35154902,-16.74820392,-16.41692745,-16.46565882,-13.24324118,-17.75487255,-17.73819804,-16.23876667,-13.72981961,-20.57080784,-9.052984314,-8.419380392,-14.89915098,
16,6.39,-10.45241765,11.54115098,3.171813725,-6.901268627,2.192113725,11.66085294,-16.23193922,-1.836482353,10.10366078,0.149662745,-6.851492157,4.531482353,20.08822745,-14.73010784,6.212960784,12.21483333,-17.80780196,0.410835294,10.74497647,11.21522549, 
17,6.62,4.53284902,2.644982353,15.23716078,3.752535294,-15.9294451,9.46294902,-7.797168627,4.279268627,3.046194118,0.030941176,13.29635686,7.097778431,5.379917647,24.98300784,26.29481176,25.05756471,21.33944118,18.65807843,19.47264314,12.71820588, 
18,6.71,-19.82165882,-16.50842549,-14.61268824,-21.05743333,-15.21851373,-2.713072549,-19.23687451,3.429539216,-17.47325294,-20.42676667,-22.69121176,13.28029608,5.168707843,-5.885631373,-1.896470588,-10.2964902,-20.29850784,-16.65266078,-7.43985098,-20.6028098, 
