pose ID, RMSD, Delta G_bind (run1), Delta G_bind (run2), Delta G_bind (run3), Delta G_bind (run4), Delta G_bind (run5), Delta G_bind (run6), Delta G_bind (run7), Delta G_bind (run8), Delta G_bind (run9), Delta G_bind (run10), Delta G_bind (run11), Delta G_bind (run12), Delta G_bind (run13), Delta G_bind (run14), Delta G_bind (run15), Delta G_bind (run16), Delta G_bind (run17), Delta G_bind (run18), Delta G_bind (run19), Delta G_bind (run20), 
1, 1.36867385282, -31.238982, -29.629216, -34.317812, -33.970918, -31.359584, -29.1789, -28.482878, -28.50155, -31.682472, -29.935882, -30.051168, -25.236594, -26.849832, -30.385894, -31.384886, -27.478634, -31.632998, -34.345296, -30.512382, -25.22979, 
2, 1.82032896435, -29.505646, -34.65461, -30.677324, -27.044558, -34.266922, -30.929706, -29.910586, -25.728816, -25.382742, -30.583316, -28.564758, -37.787438, -29.19307, -29.523208, -27.114214, -30.588196, -24.293722, -29.945876, -31.860026, -22.94501, 
3, 1.84894065304, -28.04229, -34.090242, -32.029186, -34.46853, -29.648858, -34.682688, -31.084882, -27.457276, -30.994876, -29.168318, -30.572518, -26.529362, -25.436388, -32.136604, -29.956116, -29.815012, -31.95403, -33.765744, -34.157752, -32.91599, 
4, 4.02603345548, -29.800974, -23.661012, -17.032594, -27.01476, -24.8155, -13.817872, -27.788918, -11.314374, -31.686294, -25.65459, -21.68321, -27.127224, -16.32378, -17.11666, -18.518436, -23.133828, -30.625892, -24.392318, -32.85746, -23.078738, 
5, 5.8260289121, -28.120432, -25.08072, -21.057806, -23.86505, -20.71959, -23.31271, -24.886624, -9.718558, -21.983186, -21.285784, -20.50889, -25.5364, -22.76908, -27.590772, -19.975736, -12.44794, -22.671848, -18.728094, -18.99862, -18.0939, 
6, 7.37520712095, -17.0295, -14.52127, -13.392244, -11.423794, -13.300364, -13.82494, -15.820502, -17.07448, -15.515362, -15.692316, -15.894652, -8.396118, -16.270246, -26.354064, -23.959266, -17.298696, -17.693948, -17.676554, -14.387462, -19.943136, 
7, 7.44130354327, -25.3684, -21.915312, -24.58181, -12.1895, -24.03587, -16.121796, -22.631992, -16.750354, -22.57012, -22.571744, -21.253776, -25.254338, -7.110884, -30.254262, -17.130928, -19.488158, -19.442, -28.783728, -23.940554, -20.114252, 
8, 8.13558144345, -24.2572, -30.258402, -32.01813, -30.49352, -26.849544, -29.2131, -33.438222, -24.589422, -36.039682, -33.638064, -19.602408, -21.63476, -27.774754, -40.035298, -27.170134, -32.549608, -35.223512, -21.83961, -33.833816, -26.18667, 
9, 8.94603049703, -18.931176, -15.56269, -26.653382, -27.230308, -17.502394, -18.13924, -19.821818, -23.87632, -12.732178, -17.856344, -15.855896, -17.782742, -4.8818, -21.898806, -14.316274, -16.478758, -16.487178, -13.713454, -18.161892, -24.296202, 
10, 8.5535446521, -25.87718, -20.178642, -19.722348, -27.677016, -22.739176, -20.040772, -12.001112, -21.428542, -22.141338, -31.728932, -25.307676, -10.954086, -17.052698, -26.661268, -27.192816, -12.437858, -22.077896, -28.639032, -14.989714, -26.133136, 
11, 7.83627188881, -28.021856, -32.265204, -29.558222, -25.56339, -20.915376, -22.699354, -34.399098, -29.451586, -31.320916, -27.42302, -25.04236, -27.638794, -27.47479, -30.996866, -26.975516, -29.742038, -28.76495, -31.040168, -29.334812, -25.116028, 
12, 9.68048862999, -16.27001, -18.07317, -16.065858, -21.476262, -14.867952, -25.717668, -13.344468, -11.889722, -13.450692, -13.443924, -17.772228, -15.307638, -23.921874, -13.567516, -12.592684, -22.874878, -8.36563, -14.304874, -13.403556, -13.945144, 
13, 8.45534719071, -14.744954, -10.002342, -19.425428, -22.95922, -18.806116, -20.035162, -18.152606, -15.723002, -16.00454, -6.296828, -18.20668, -12.937354, -13.896324, -12.181916, -7.183912, -19.830162, -16.895634, -12.650558, -16.514612, -20.365488, 
