pose ID, RMSD, Delta G_bind (run1), Delta G_bind (run2), Delta G_bind (run3), Delta G_bind (run4), Delta G_bind (run5), Delta G_bind (run6), Delta G_bind (run7), Delta G_bind (run8), Delta G_bind (run9), Delta G_bind (run10), Delta G_bind (run11), Delta G_bind (run12), Delta G_bind (run13), Delta G_bind (run14), Delta G_bind (run15), Delta G_bind (run16), Delta G_bind (run17), Delta G_bind (run18), Delta G_bind (run19), Delta G_bind (run20), 
1,1.19,-25.5739902,-28.51341569,-29.50799608,-27.49813922,-25.58686471,-30.37036863,-25.68570392,-27.6576549,-27.38066863,-26.36217255,-29.13055294,-26.20339804,-28.34614118,-25.92947451,-28.14813922,-30.19188627,-25.57236275,-28.02308627,-26.99916863,-26.54091961,
2,2.63,-23.87011765,-28.18596078,-26.97807843,-24.38665882,-26.61099804,-24.45690784,-26.48660196,-24.13026078,-27.32880784,-24.94321373,-20.45100784,-27.18095294,-26.13609412,-27.12951176,-23.79902745,-26.23132941,-25.7783,-27.20625882,-25.49962941,-28.23630784,
3,5.58,-21.78616471,-16.65236078,-15.54451961,-13.3169098,-19.84067255,-15.33368039,-21.42407843,-20.20676667,-19.69277059,-16.94219804,-17.6237098,-19.40716667,-20.28967255,-15.93286078,-21.64338235,-17.84950196,-19.91036667,-17.62272157,-19.3968451,-14.07704118,
4,5.58,-13.22407255,-14.6087902,-15.23263333,-15.6137,-16.02600392,-16.16609804,-16.7713902,-20.86523137,-22.70658039,-13.43838627,-15.18253725,-15.03627059,-14.37470392,-15.49167451,-14.14043529,-23.30800196,-15.58154902,-14.29287843,-22.39124118,-16.18346078,
5,5.81,-30.81335882,-16.91282353,-18.87141765,-17.22143529,-19.3956098,-25.06852353,-18.4184451,-20.5944,-18.40335686,-21.10788627,-22.26361373,-17.02402157,-26.46704902,-22.6203,-19.13580392,-25.70228627,-18.5902902,-19.1819098,-19.00505882,-29.8043451,
6,6.09,-16.80925686,-13.58376471,-15.6058902,-12.97078627,-15.05809804,-16.67439608,-14.47274314,-16.19013922,-13.51722549,-16.24488627,-19.92766471,-16.10831569,-18.62600784,-17.79456275,-14.9401549,-19.32504314,-18.40179804,-13.75932941,-15.34060196,-20.21957255,
7,6.12,-22.01435294,-21.9574,-21.13656275,-23.47356078,-15.69373529,-19.66101569,-19.84948627,-18.90247059,-19.69727255,-13.90802353,-16.48395294,-20.93159608,-13.64923529,-19.85348627,-17.09811176,-16.50349412,-20.14263333,-19.58881176,-24.21801961,-20.64924314,
8,6.29,-23.47444118,-20.30725686,-21.54025098,-23.12215882,-24.66901569,-23.73010196,-19.55535098,-22.84275098,-24.28346863,-23.9893902,-20.6778,-17.49158039,-20.18725294,-23.84614118,-21.36955882,-19.98359804,-23.86337451,-23.11449804,-26.63784902,-22.30838039,
9,6.3,-18.19314314,-13.91382353,-16.43913922,-17.17971373,-15.01031373,-14.67930784,-12.85022353,-16.37090392,-12.90874314,-16.4580451,-15.98598627,-13.62291569,-17.23420392,-19.81643529,-12.08149216,-18.60453137,-17.94167647,-15.76072157,-19.35276667,-15.14816863,
10,6.72,-18.4821098,-16.76946471,-20.51510196,-23.53058039,-22.76669608,-21.19272549,-16.3390098,-23.55577843,-17.72259216,-18.49880784,-20.99046667,-24.16568627,-31.79922941,-19.31815098,-20.26547451,-16.02286471,-21.5647902,-18.62234314,-11.93591176,-19.90355882,
